case_type,jurisdiction,location,complexity,duration_months,lawyer_level,legal_fees,court_fees,filing_admin_fees,miscellaneous_fees
Civil,District Court,"Bathinda, Punjab",Low,10,Junior Associate,210000,30000,18000,23000
Criminal,High Court,"Jaipur, Rajasthan",High,28,Senior Counsel,1120000,139000,60000,77000
Corporate,High Court,"Pune, Maharashtra",Medium,27,Senior Counsel,1710000,157000,68000,94000
Family / Matrimonial,District Court,"Vizianagaram, Andhra Pradesh",Low,7,Junior Associate,143000,21000,14000,17000
Property Dispute,District Court,"Motihari, Bihar",High,18,Senior Counsel,670000,65000,37000,48000
Consumer,Consumer Forum,"Jabalpur, Madhya Pradesh",Low,5,Junior Associate,66000,12000,8000,10000
Civil,High Court,"Kolkata, West Bengal",Medium,25,Mid-Senior,880000,115000,51000,64000
Criminal,District Court,"Dewas, Madhya Pradesh",Low,13,Junior Associate,312000,41000,24000,30000
Corporate,District Court,"Vellore, Tamil Nadu",Low,14,Junior Associate,420000,49000,27000,34000
Family / Matrimonial,District Court,"Maheshtala, West Bengal",Medium,10,Mid-Senior,250000,32000,20000,25000
Property Dispute,High Court,"Hyderabad, Telangana",Medium,22,Mid-Senior,910000,118000,51000,65000
Consumer,Tribunal,"Gandhidham, Gujarat",Medium,7,Mid-Senior,97000,15000,10000,13000
Civil,District Court,"Bally, West Bengal",Medium,11,Mid-Senior,343000,44000,24000,30000
Criminal,High Court,"Lucknow, Uttar Pradesh",Medium,24,Mid-Senior,820000,110000,49000,61000
Corporate,Supreme Court,"Delhi, Delhi",High,56,Top Tier Firm,5200000,400000,165000,205000
Family / Matrimonial,High Court,"Pune, Maharashtra",Medium,18,Mid-Senior,690000,93000,42000,53000
Property Dispute,District Court,"Hapur, Uttar Pradesh",Low,11,Junior Associate,199000,29000,17000,22000
Consumer,Consumer Forum,"Bongaigaon, Assam",Low,5,Junior Associate,67000,12000,8000,10000
Civil,District Court,"Avadi, Tamil Nadu",Low,11,Junior Associate,223000,31000,19000,24000
Criminal,District Court,"Vidisha, Madhya Pradesh",Medium,14,Mid-Senior,409000,47000,28000,34000
Corporate,High Court,"Bangalore, Karnataka",High,36,Top Tier Firm,2400000,188000,80000,117000
Family / Matrimonial,District Court,"Kamarhati, West Bengal",Low,8,Junior Associate,150000,23000,15000,18000
Property Dispute,District Court,"Budaun, Uttar Pradesh",Medium,13,Mid-Senior,425000,49000,28000,35000
Consumer,Consumer Forum,"Dharmavaram, Andhra Pradesh",Medium,6,Mid-Senior,109000,16000,11000,13000
Civil,High Court,"Delhi, Delhi",Medium,26,Mid-Senior,900000,117000,52000,65000
Criminal,High Court,"Mumbai, Maharashtra",High,30,Senior Counsel,1230000,148000,64000,82000
Corporate,District Court,"Nagercoil, Tamil Nadu",Medium,16,Mid-Senior,635000,64000,35000,42000
Family / Matrimonial,District Court,"South Dumdum, West Bengal",Medium,9,Mid-Senior,242000,31000,20000,25000
Property Dispute,High Court,"Chennai, Tamil Nadu",High,26,Senior Counsel,1110000,137000,59000,76000
Consumer,Tribunal,"Meerut, Uttar Pradesh",Low,6,Junior Associate,68000,13000,9000,11000
Civil,District Court,"Bhilwara, Rajasthan",Medium,12,Mid-Senior,360000,46000,25000,31000
Criminal,District Court,"Titagarh, West Bengal",Low,12,Junior Associate,299000,40000,23000,29000
Corporate,High Court,"Hyderabad, Telangana",High,33,Top Tier Firm,2160000,177000,76000,112000
Family / Matrimonial,High Court,"Kolkata, West Bengal",Medium,19,Mid-Senior,710000,95000,43000,54000
Property Dispute,District Court,"Jalna, Maharashtra",Low,10,Junior Associate,194000,28000,17000,21000
Consumer,Consumer Forum,"Tenali, Andhra Pradesh",Low,5,Junior Associate,68000,12000,8000,10000
